;name;description;referrals;properties;history
121;Cade;A witness to the Imperial demolition of Tipoca City, Cade must wrestle with the guilt of protecting Vice Admiral Rampart's lies in the months that follow. Ultimately, Cade decides to press Rampart to tell the Imperial Senate the truth under threat of revealing what he knows, a brave yet foolish threat.;;{'Appearances': ['Star Wars: The Bad Batch']};
122;Cal Kestis;Cal Kestis, a survivor of Order 66, was trained by Jedi Master Jaro Tapal. After years of living on the run and fighting the Empire, Cal has grown into a fierce Jedi warrior. Carrying the memories and expectations of the Jedi Order with him, his crusade against the Empire has only become more perilous. ;;{'Locations': ['Bracca'], 'Gender': ['Male']};
123;Caluan Ematt;Like many Resistance officers, Caluan Ematt is a veteran of the Rebel Alliance. During the Galactic Civil War, he was a member of the Shrikes recon unit – and the sole survivor after an ambush on Tanaab. Promoted from major to general after the Battle of Starkiller Base, Ematt fled D’Qar with Leia Organa ahead of the First Order’s hunters.;;"{'Appearances': ['Star Wars: The Force Awakens (Episode VII)', 'Star Wars: The Last Jedi (Episode VIII)'], 'Affiliations': ['Rebel Alliance', 'The Resistance'], 'Locations': [""D'Qar"", 'Crait'], 'Gender': ['Male'], 'species': ['Human'], 'Weapons': ['Blaster Pistol']}";
124;Camie;A resident of Anchorhead, as a teen, Camie would hang out with her boyfriend Fixer at Tosche Station. In the last days of the Empire, not much had changed.;;{'Appearances': ['The Book of Boba Fett'], 'Locations': ['Tatooine', 'Tosche Station']};
125;Captain Antilles;A level-headed ship officer schooled in diplomacy, and a capable pilot entrusted to ferry about the royal family of Alderaan, Captain Antilles served in Bail Organa's command staff. He was part of the bridge crew of Organa's diplomatic cruiser, a role he would continue during the time Princess Leia served as Senator of Alderaan.;;{'Appearances': ['Star Wars: A New Hope (Episode IV)', 'Star Wars: Revenge of the Sith (Episode III)'], 'Locations': ['Alderaan'], 'Gender': ['Male'], 'species': ['Human'], 'Weapons': ['Blaster Pistol'], 'Vehicles': ['Alderaan Cruiser']};
126;Captain Argyus;A member of the elite Senate Guard commandos, Captain Argyus was tasked with overseeing the transport of an important Republic prisoner: Separatist mastermind Nute Gunray. Gunray's wealth and the careful manipulation of Darth Sidious ensured that Argyus' loyalties wandered. Argyus betrayed the Republic, and ensured Gunray's escape from the cruiser Tranquility.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Senate Guard'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Rifle']};
127;Captain Bragg;Imperial enforcer Captain Bragg takes great pride in bringing order to the galaxy in the early days of the Empire. On Raxus, Bragg is instrumental in securing local support for the Empire's occupation through any means necessary.;;{'Appearances': ['Star Wars: The Bad Batch']};
128;Captain Brunson;Earning a high rank at a young age, Captain Brunson was the gifted and ambitious commanding officer on an Imperial light cruiser. She battled the Ghost crew of rebels at Geonosis, and in a bold move, looked to bury their ship in the underground of the rocky planet. Brunson would suffer an embarrassment, however, when the Ghost escaped -- destroying her command ship in the process.;;{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Galactic Empire'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.75m ']};
129;Captain Canady;A veteran officer, Moden Canady was captain of the Siege Dreadnought Fulminatrix, charged with annihilating D’Qar’s Resistance base from orbit. Canady commanded a Star Destroyer in the Imperial Starfleet, and was distressed to find himself surrounded by arrogant, inexperienced young First Order officers. He incinerated the base and was preparing to fire on Leia Organa’s flagship when his warship was destroyed by the Resistance’s last remaining bomber.;;{'Appearances': ['Star Wars: The Last Jedi (Episode VIII)'], 'Affiliations': ['The First Order'], 'Gender': ['Male'], 'species': ['Human'], 'Vehicles': ['The Fulminatrix']};
130;Captain Doza;Solemn and reserved, Captain Imanuel Doza runs the Colossus platform from a pristine office in his namesake tower. Although he has a soft spot for his daughter, Torra, he is seen as a stern man who will not be easily intimidated, even by the First Order.;['the Empire', 'Rebel Alliance', 'Venisa', 'the First Order', 'Venisa', 'the Resistance', 'Doza Tower', 'Colossus', 'Colossus', 'the First Order', 'Torra', 'First Order stormtroopers', 'Castilon', 'Jarek Yeager', 'Colossus', 'the First Order', 'Aunt Z', 'Colossus', 'Aeos', 'Venisa Doza', 'Colossus', 'the Resistance', 'Tam', 'the First Order', 'Colossus'];{'Appearances': ['Star Wars Resistance'], 'Locations': ['Colossus', 'Doza Tower'], 'Gender': ['Male'], 'species': ['Human']};
131;Captain Elk;An officer in the Imperial Navy, Captain Elk is in command of a Cantwell-class Arrestor cruiser, patrolling space near Segra-Milo, forever on the lookout for suspicious activity.;;{'Appearances': ['Andor']};
132;Captain Gawat;Idrosen Gawat led the planetary defense forces safeguarding the Mykapo system before coming out of retirement to join the Resistance. A seasoned veteran, Gawat serves as executive officer aboard the Raddus, assisting Admiral Ackbar.;;{'Appearances': ['Star Wars: The Last Jedi (Episode VIII)'], 'Affiliations': ['The Resistance'], 'Gender': ['Male'], 'species': ['Human']};
133;Captain Hark;Loyal to Tiber Saxon, Capatin Hark is a Mandalorian warrior who serves the Empire. He has misgivings, however, about the use of a superweapon that targets Mandalorian armor.;;{'Appearances': ['Star Wars Rebels'], 'Gender': ['Male'], 'species': ['Human']};
134;Captain Kosh;Captain Kosh is the commander of an Imperial garrison on Tatooine. His forces are caught up in a conflict with the local rebellion led by Jennica Pierce. Kosh manipulates both allies and enemies as pawns to achieve the goals of the Empire. He also has an unusual interest in ancient artifacts.;;{'Affiliations': ['Galactic Empire'], 'Locations': ['Tatooine'], 'Gender': ['Male'], 'species': ['Human']};
135;Captain Lang;A mercenary with loyalty bought by the wealthy Magistrate Morgan Elsbeth, Lang is no ordinary hired gun. He serves as the Magistrate's Captain of the Guard, commanding the forces that defend her walled city.;;{'Appearances': ['The Mandalorian'], 'Locations': ['Corvus'], 'species': ['Human']};
136;Captain Merumeru;Captain Merumeru was a Wookiee chieftain that led a group of Wookiee warriors into battle against the Separatists on Kashyyyk. Leading the charge with a roar, he fought valiantly on the beaches at the battle of Kachirho City alongside his Wookiees and Clone Soldiers of the Republic in the hours leading up to Order 66.;;{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)'], 'Affiliations': ['Galactic Republic', 'Wookiees'], 'Locations': ['Kashyyyk'], 'Gender': ['Male'], 'Dimensions': ['Height: 2.25m '], 'species': ['Wookiee'], 'Weapons': ['Wooden command staff']};
137;Captain Needa;Captain Needa commanded the Avenger, one of the Imperial Star Destroyers that fought for the Empire at the Battle of Hoth. His ship pursued the fleeing Millennium Falcon, but the freighter escaped under mysterious circumstances. Baffled but contrite, Needa decided it was his duty to apologize to Darth Vader for losing the ship.;;{'Appearances': ['Star Wars: The Empire Strikes Back (Episode V)'], 'Affiliations': ['Galactic Empire'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.75m ']};
138;Captain Panaka;"Queen Amidala's loyal protector during the Trade Federation invasion crisis was Captain Panaka. Panaka was often referred to as ""the quickest eyes on Naboo"" for his attention to detail and selfless dedication to the safety of the Queen.    Panaka commanded a team of Royal Palace Guards and Security Troopers stationed throughout Theed. During the Trade Federation invasion, Panaka stayed close to the Queen, ensuring her protection from the Neimoidians' plans. His loyalty was such that he would openly question the strategy of Jedi Knights if he thought it would somehow endanger Amidala.";;{'Appearances': ['Star Wars: The Phantom Menace (Episode I)'], 'Affiliations': ['Naboo Royal Guards'], 'Locations': ['Naboo'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Pistol']};
139;Captain Peavey;Edrison Peavey commands the Star Destroyer Finalizer, which requires him to take orders from General Hux. Peavey has little respect for Hux, whom he regards as an arrogant schemer with a poor grasp of tactics. But as a veteran of the Empire, Peavey respects the chain of command and keeps his opinions to himself.;;{'Appearances': ['Star Wars: The Last Jedi (Episode VIII)'], 'Affiliations': ['The First Order'], 'Gender': ['Male'], 'species': ['Human'], 'Vehicles': ['Finalizer']};
140;Captain Phasma;Clad in distinctive armor of salvaged chromium, Captain Phasma commands the First Order’s legions of stormtroopers. A tough veteran commander, she has no use for fancy titles or complex war rooms, preferring to lead her troops in battle against the First Order’s enemies. A determined survivor, Phasma betrayed the First Order on Starkiller Base. She managed to conceal her treachery, but fell in battle against Finn, one of her former soldiers.;['First Order', 'Colossus', 'Poe Dameron', 'Kazuda Xiono', 'General Hux', 'Kylo Ren', 'stormtroopers', 'Starkiller Base', 'Finn', 'Han Solo', 'Supremacy’s', 'the Resistance', 'stormtrooper'];"{'Appearances': ['Star Wars: The Force Awakens (Episode VII)', 'Star Wars: The Last Jedi (Episode VIII)'], 'Affiliations': ['The First Order'], 'Gender': ['Female'], 'Dimensions': ['Height: 2.0m '], 'species': ['Human'], 'Weapons': [""Captain Phasma's Blaster Rifle "", ""Captain Phasma's Baton""], 'Vehicles': ['The Supremacy']}";
141;Captain Typho;Gregar Typho succeeded Captain Panaka as head of Padmé Amidala’s security detail, protecting her as Naboo’s queen and then as its Senator. During the Separatist Crisis, Typho endorsed the plan for Padmé to evade assassins by secretly returning to Naboo with Anakin Skywalker. He loyally defended the Senator against a host of enemies in the Clone Wars.;;{'Appearances': ['Star Wars: Attack of the Clones (Episode II)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Naboo Royal Guards'], 'Locations': ['Coruscant', 'Naboo'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.85m '], 'Weapons': ['Blaster Pistol']};
142;Captain Wilco;Captain Wilco is a soldier with integrity. After a mission to Serenno unearths unequivocal proof that Clone Force 99 survived the destruction of Kamino, Wilco refuses to bow to Vice Admiral Rampart's pressure to falsify documents in service to Rampart's own lies. ;;{'Appearances': ['Star Wars: The Bad Batch']};
143;Cara Dune;A veteran of the Galactic Civil War who fought under the banner of the Rebellion, Cara Dune is a seasoned warrior who hails from Alderaan. After the fall of the Empire, she reinvented herself first as a mercenary, and most recently as the Marshal of Nevarro.;;{'Appearances': ['The Mandalorian'], 'Gender': ['Female']};
144;Cardo;Cardo is a walking arsenal, using a powerful customized arm cannon to spray death and destruction at the Knights of Ren’s targets. His years of tinkering with weapons have made him a skilled armorer, and he repairs his fellow Knights’ gear after their missions.;;{'Appearances': ['Star Wars: The Force Awakens (Episode VII)', 'Star Wars: The Rise of Skywalker (Episode IX)'], 'Affiliations': ['Knights of Ren'], 'Gender': ['Male'], 'Vehicles': ['Night Buzzard'], 'Weapons': ['Cardo’s arm cannon']};
145;Carson Teva;New Republic pilot Carson Teva leads patrols over distant worlds like Tatooine in an effort to maintain order. ;;{};
146;Cassian Andor;Cassian Andor has spent much of his life watching as the Empire lay waste to the galaxy. As part of his entry into the growing rebellion, he will undertake a dangerous mission to Aldhani and ultimately become an accomplished Alliance Intelligence officer, commanding respect from his rebel troops with his ability to keep a cool head under fire.;['Kenari', 'Maarva', 'Clem Andor'];{'Appearances': ['Rogue One: A Star Wars Story', 'Andor'], 'Gender': ['Male'], 'Weapons': ['BlasTech A280-CFE']};
147;Cassie Cryar;The female Terelian Jango Jumper has impressive acrobatics skills which came in handy as a thief in the Coruscant underworld. Cassie Cryar's main objective was to steal highly-sought after objects. By helping her partner Ione Marcy murder her boyfriend, the Trandoshan assassin Nack Movers, Cassie obtained one of the most valuable items in the galaxy -- a Jedi's lightsaber. Her desire to keep the lightsaber made her overconfident. She believed she could wield the same power as a Jedi.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.82m '], 'species': ['Terrelian Jango Jumper'], 'Weapons': ['Lightsaber']};
148;Castas;A burly Klatooinian, Castas signed on with Aurra Sing to help Boba Fett seek revenge against the Jedi Master Mace Windu. But when Sing's gang tangled with the Republic military, Castas decided the job was too risky -- he'd be better off working alone.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Gender': ['Male'], 'Weapons': ['Blaster Pistol']};
149;Cato Parasitti;This Clawdite bounty hunter from the planet Zolan was one of the most lethal assassins in the galaxy. During the Clone Wars, she was involved in a plot with Cad Bane to steal a holocron from the Jedi Temple. Using holographic technology in addition to her shape changing abilities, she was able to infiltrate the Jedi Temple disguised as Ord Eniscence, a Jedi master murdered by Cad Bane. Eventually, Parasitti had to abandon that identity and assume the guise of Jedi Librarian Jocasta Nu. Eventually, padawan Ahsoka Tano saw through her disguise and defeated the Clawdite.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Bounty Hunters'], 'Locations': ['Coruscant', 'Zolan'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.79m '], 'species': ['Clawdite'], 'Weapons': ['Blaster Rifle', 'LL-30 Blaster Pistol']};
150;CB-23;A maroon and turquoise BB astromech unit, CB-23 serves as Poe Dameron's co-pilot while BB-8 keeps tabs on Kaz and his spying mission. At first considered stuck up and pushy, literally clashing with BB-8 when the two come together for a mission aboard a freighter, the two droids eventually come to an understanding.;['BB-8', 'Poe Dameron', 'the Resistance', 'Kazuda Xiono', 'Colossus', 'First Order', 'Castilon', 'Varkana', 'tech stormtroopers', 'Tam', 'Colossus', 'the First Order'];{'Appearances': ['Star Wars Resistance'], 'star wars': ['Droid']};
151;Cere;Among the scattered Jedi who survived Order 66, the purge that all-but wiped out the Jedi Order, Cere Junda has been living in seclusion for years. After saving Cal Kestis from the Imperial Inquisitorius, Cere begins to mentor the former Padawan. But along with Greez Dritus, the captain of the Stinger Mantis, Cere is on a secret mission of her own -- to rebuild the Jedi Order.;;{'Affiliations': ['Jedi Order'], 'Gender': ['Female']};
152;CG-67;A protocol droid whose primary functions are taking inventory and overseeing the astromechs and other mechanicals at a trader's post, CG-67 is a strict adherent to rule and order. ;;{'Appearances': ['Star Wars: The Bad Batch'], 'Locations': ['Pantora'], 'droid': ['Protocol Droid']};
153;Chairman Papanoida;Papanoida became chairman of Pantora after the death of Chi Cho. When he refused to join the Separatists, they blockaded Pantora and hired the bounty hunter Greedo to kidnap Papanoida's daughters.    Unwilling to wait for Coruscant law enforcement or the Senate to help, Papanoida took it on himself to solve the kidnapping and rescue his children.;;{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Locations': ['Pantora'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.77m '], 'species': ['Pantoran']};
154;Cham Syndulla;The freedom fighter Cham Syndulla came to prominence on Ryloth during the Clone Wars, after the Separatists invaded his homeworld. A dedicated fighter with no tolerance for corruption or dishonesty, Syndulla forged an alliance with Mace Windu that brought liberty to his fellow Twi'leks. Syndulla resisted the Empire after its rise to power, hatching a plot to ambush Emperor Palpatine and Darth Vader on Ryloth. Although he hoped his sacrifices would mean his daughter, Hera, wouldn't have to spend her life fighting, the young woman would grow up to continue his campaign to undermine Imperial power through the time of the Galactic Civil War.;['Twi’lek', 'Republic', 'Ryloth', 'Orn Free Taa', 'Separatists', 'resistance movement', 'Ima-Gun Di', 'Republic', 'Mace Windu', 'Wat Tambor', 'Empire', 'Emperor Palpatine', 'Darth Vader.', 'Quasar Fire-Class Cruiser-Carrier', 'TIE bomber'];"{'Appearances': ['Star Wars: The Bad Batch', 'Star Wars: The Clone Wars', 'Star Wars Rebels'], 'Affiliations': ['Free Ryloth Movement'], 'Locations': ['Ryloth'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.9m '], 'species': [""Twi'lek""], 'Weapons': ['Blaster Pistol'], 'token': ['Kalikori']}";
155;Chancellor Villecham;A Tarsunt from the system of the same name, Lanever Villecham was elected chancellor of the New Republic two years before the First Order’s raid on Jakku. He focused his political efforts on such matters as improving trade relations with neutral systems. Despite Leia Organa’s warnings, Villecham didn’t consider the First Order to be a threat to galactic peace.;;{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Affiliations': ['The New Republic'], 'Locations': ['Hosnian Prime'], 'Gender': ['Male']};
156;Chata Hyoki;As a Selkath from the aquatic planet of Manaan, Chata Hyoki wore highly specialized armor that helped keep his skin moist as he made a name for himself in the galaxy as a feared bounty hunter. On the other hand, he was a drunk who haunted Coruscant cantinas. During the Clone Wars, he worked with fellow bounty hunter Robonino to intimidate Senators into changing their votes in the Senate on behalf of Count Dooku. Dooku raised the stakes by instructing the pair to assassinate Senator Amidala, a scheme the Sith lord had tried numerous times before with little success. Hyoki and his compatriot failed in their assassination attempt and were arrested when they attacked Senator Bail Organa at the Senate building.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Bounty Hunters'], 'Locations': ['Manaan'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.55m '], 'Weapons': ['Built-in Wrist Blaster', 'Grappling hook']};
157;Chava;An elder Lasat mystic, Chava, or Chava the Wise, survived the Imperial purge of Lasan. Along with Gron, a fellow survivor, she was rescued by the Ghost crew. Chava believed in an ancient prophecy that would lead the Lasat to their original homeworld -- and the rebel Zeb was the key.;;{'Appearances': ['Star Wars Rebels'], 'Locations': ['Lira San'], 'Gender': ['Female'], 'species': ['Lasat']};
158;Che Amanwe Papanoida;Che Amanwe found herself caught in the war of wills between the Separatists and her father, Chairman Papanoida, when bounty hunters hired by the Trade Federation kidnapped her and her sister. Imprisoned on Tatooine, Che Amanwe proved she could defend herself quite ably.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Locations': ['Pantora'], 'Gender': ['Female'], 'species': ['Pantoran']};
159;Chewbacca;A legendary Wookiee warrior and Han Solo’s longtime co-pilot, Chewbacca continues to serve as faithful first mate to carry out daring missions against the First Order behind the controls of the Millennium Falcon. Known as Chewie to his closest friends, he was part of a core group of rebels who restored freedom to the galaxy during the reign of the Galactic Empire. Known for his short temper and accuracy with a bowcaster, Chewie also has a big heart and unwavering loyalty to his friends. ;['Trandoshan', 'Ahsoka Tano', 'Yoda', 'Kashyyyk', 'Separatist', 'Republic', 'Yoda', 'Tarfful', 'Jedi', 'Empire', 'Mimban', 'Han Solo', 'Tobias Beckett’s', 'coaxium', 'conveyex', 'Vandor', 'Kessel', 'L3-37', 'Savareen', 'Dryden Vos', 'Numidian Prime', 'Lando Calrissian', '', 'Mos Eisley cantina', 'Obi-Wan Kenobi', 'Alderaan', 'Jedi', 'Luke Skywalker', 'stormtroopers', 'Millennium Falcon', 'Empire’s', 'Death Star', 'Princess Leia', 'Death Star', 'Rebel Alliance', 'Yavin', 'Hoth', 'Jabba the Hutt', 'C-3PO', 'Cloud City', 'Lando Calrissian', 'Boba Fett', 'Jabba’s Palace', 'Jabba', 'Sarlacc', 'Luke Skywalker', 'Endor', 'Ewoks', 'AT-ST', 'Empire’s', 'Rebels', 'Endor', 'Kashyyyk', 'Imperial', 'New Republic', 'Kylo Ren', 'Millennium Falcon', 'Resistance', 'Starkiller Base', 'Rey', 'Ahch-To', 'Luke', 'Falcon', 'Crait', 'Pasaana', 'Knights of Ren', 'the Resistance', 'Exegol'];{'Appearances': ['Star Wars: A New Hope (Episode IV)', 'Star Wars: The Empire Strikes Back (Episode V)', 'Star Wars: Return of the Jedi (Episode VI)', 'Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Force Awakens (Episode VII)', 'Star Wars: The Last Jedi (Episode VIII)', 'Solo: A Star Wars Story', 'Star Wars: The Rise of Skywalker (Episode IX)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Rebel Alliance', 'The Resistance'], 'Locations': ['Kashyyyk', 'Numidian Prime'], 'Gender': ['Male'], 'Dimensions': ['Height: 2.28m '], 'species': ['Wookiee'], 'Vehicles': ['Millennium Falcon', 'The Eravana'], 'Weapons': ['Bowcaster']};
160;Chi Cho;As the chairman of the Pantoran Assembly, Chi Cho, was an arrogant and ruthless leader who had no interest in seeking peaceful solutions to his problems. Hoping to use the Jedi as an instrument of blunt force to take back the planet of Orto Plutonia back for the Pantorans, Cho and the Jedi accompanying him (including Obi-Wan Kenobi and Anakin Skywalker) find nothing more than a deserted Separatist base. When it was discovered that a primitive group of Talz had claimed the moon for themselves, Cho almost single-handedly declares war against them and charges into an ill-conceived battle. He met his death at the end of a Talz’ spear.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic', 'Pantoran Assembly'], 'Locations': ['Pantora', 'Orto Plutonia'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.98m '], 'species': ['Pantoran'], 'Vehicles': ['BARC Speeder']};
161;Chi Eekway Papanoida;The daughter of Pantora's Chairman Papanoida, Chi Eekway became a pawn in a high-stakes political game when bounty hunters hired by the Trade Federation kidnapped her and her sister. Ahsoka Tano and Riyo Chuchi freed Chi from captivity aboard a Trade Federation vessel.;;{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Galactic Republic'], 'Locations': ['Pantora'], 'Gender': ['Female'], 'Dimensions': ['Height: 1.65m '], 'species': ['Pantoran']};
162;Chief Chirpa;The chief of the Ewoks dwelling in Endor's Ewok village, Chief Chirpa agreed to join the struggle against the Empire, organizing war bands to fight the stormtroopers. As a sign of this commitment, he ordered that Luke Skywalker and his friends be adopted into his tribe.;;{'Appearances': ['Star Wars: Return of the Jedi (Episode VI)'], 'Affiliations': ['Rebel Alliance'], 'Locations': ['Endor', 'Bright Tree Village'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.0m '], 'species': ['Ewok']};
163;Chief Petty Officer Unamo;Chief Petty Officer Unamo served the First Order aboard the flagship Finalizer, supervising the massive Star Destroyer’s crew and reporting to higher-ranking members of the command crew such as Lieutenant Mitaka.;;{'Appearances': ['Star Wars: The Force Awakens (Episode VII)'], 'Affiliations': ['The First Order'], 'Gender': ['Female'], 'species': ['Human'], 'Vehicles': ['Finalizer']};
164;Chieftain Pieter;The elder leader of a town of Ming Po on Carlac, Chieftain Pieter hated the intruding Death Watch and their bullying ways. The marauding gang set up camp next to Pieter's town, and kidnapped many of the defenseless townspeople to toil as their servants. Pieter bravely confronted Vizsla, demanding the return of his people. Vizsla appeared to concede, but it was all a cruel ploy to teach Pieter a painful lesson.;;{'Appearances': ['Star Wars: The Clone Wars'], 'Locations': ['Carlac'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.72m '], 'species': ['Ming Po']};
165;Cikatro Vizago;Once a leader of the Broken Horn crime syndicate on Lothal, Cikatro Vizago changed his ways (mostly) and now serves as captain of the Rebellion's stolen ore crawler.;"['Devaronian', ""Lothal's"", 'Ghost', 'Empire', 'Rebellion', 'ore crawler']";{'Appearances': ['Star Wars Rebels'], 'Locations': ['Devaron'], 'Gender': ['Male'], 'species': ['Devaronian'], 'Vehicles': ['Broken Horn']};
166;Cin Drallig;"An esteemed Jedi  Master and a swordsman of great skill, Cin Drallig was the head of security for the Jedi Temple on Coruscant. He is in command of the Temple Guard assignments, and also serves as a lightsaber instructor, as all veteran Jedi are encouraged to pass on what they have learned to a new generation of Padawan learners. Though it smacks of disrespect, Drallig has earned the unflattering nickname of ""the Troll"" among the Order.";;{'Appearances': ['Star Wars: Revenge of the Sith (Episode III)', 'Star Wars: The Clone Wars'], 'Affiliations': ['Jedi Order'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.74m '], 'Weapons': ['Lightsaber']};
167;Cinta Kaz;Deceptively young and small in stature, Cinta Kaz is a cold, steely rebel warrior who effectively uses the overconfidence of her enemies to formulate her attacks. Easily overlooked, Cinta puts the cause first, sneaking into position aiming to inflict maximum damage to the Empire.;;{'Appearances': ['Andor']};
168;Cleat;Cleat is known as Phoenix Four in the Rebellion's vaunted Phoenix Squadron. A gifted pilot, Cleat is eager to serve the fight against the Empire.;;{'Appearances': ['Star Wars Rebels'], 'Affiliations': ['Rebel Alliance', 'Rebel Pilots', 'Phoenix Squadron'], 'Gender': ['Female'], 'species': ['Human'], 'Vehicles': ['X-wing Starfighter']};
169;Clegg Holdfast;An arrogant journalist for Podracing Quarterly, Clegg Holdfast considered himself an expert racer and loved showing off his chestful of medals. His fancy decorations did Holdfast no good during the Boonta Eve Classic: On the race’s second lap, Sebulba’s illegal flame-jets cooked Holdfast’s engines, causing him to crash into the desert.;;{'Appearances': ['Star Wars: The Phantom Menace (Episode I)'], 'Affiliations': ['Boonta Eve Classic Podracer Pilots'], 'Locations': ['Tatooine'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.52m '], 'Vehicles': ['Podracer']};
170;Clem Andor;Clem Andor and his wife, Maarva, are salvagers who make their home on the planet Ferrix. Clem is a skilled mechanic, able to refurbish and maintain machinery that would have been long-abandoned by the less committed or skillful. Together, they traverse the galaxy in search of unclaimed tech.;;{'Appearances': ['Andor']};
171;Cliegg Lars;Cliegg Lars was a modest, good-hearted moisture farmer who lived on the Lars homestead, not far from the township of Anchorhead. During a trip to the bustling spaceport of Mos Espa, Cliegg fell in love with Shmi Skywalker, a slave owned by Toydarian junk trader Watto.    Cliegg purchased Shmi's freedom and, soon after, made her his bride. They lived a quiet existence for years on the homestead, surviving against the harsh desert elements. With Owen, Cliegg's son from a previous union, and Owen's girlfriend Beru Whitesun, the Lars homestead was a tiny island of familial warmth amidst the endless desert wastes. Until tragedy struck...;;{'Appearances': ['Star Wars: Attack of the Clones (Episode II)'], 'Locations': ['Tatooine', 'Lars Farm'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m ']};
172;Clink;An astromech with no patience for impropriety, Clink does not suffer fools or the interruption of orderly function in the store room of a trader's post.;;{'Appearances': ['Star Wars: The Bad Batch'], 'Locations': ['Pantora'], 'star wars': ['Droid']};
173;Clone 99;"During the Clone Wars, Clone 99 was a malformed result of the cloning process. Due to his genetic defects and physical limitations, he was considered unfit for combat, and remained behind on Kamino to support the training efforts of his clone ""brothers."" Though his responsibilities were menial and his job consisted primarily of janitorial duties, he took pride in his work and in his connection to the Republic's noble heroes. Despite (or perhaps because of) his physical shortcomings, Clone 99 was gentle, thoughtful and wise, offering a unique perspective for cadets facing the rigors of military training. During the Separatist invasion of Tipoca City, he assisted a group of clone cadets in their defense of the cloning facility.";;{'Appearances': ['Star Wars: The Clone Wars'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.68m ']};
174;Clone Captain Grey;Serving under Jedi General Depa Billaba throughout the Clone Wars, Captain Grey is a trusted soldier. He is stationed on Kaller during Order 66 and helps to bring about the end of the Clone Wars. ;;{'Appearances': ['Star Wars: The Bad Batch'], 'Gender': ['Male']};
175;Clone Captain Howzer;Having been deployed by the Republic to Ryloth during the Clone Wars, clone Captain Howzer now serves the Empire on the planet as it promises to protect and defend its people. ;;{'Appearances': ['Star Wars: The Bad Batch']};
176;Clone Captain Rex;Rex once served the Republic on the frontlines during the Clone Wars,  taking orders from Anakin Skywalker and Ahsoka Tano as first a captain and later a commander. He viewed military service as an honor, and his loyalty to the Republic and his Jedi Generals was absolute. But  when Order 66 was executed, it was Ahsoka who helped to free Rex from the programming of his inhibitor chip. At the dawn of the Empire, Rex has escaped with his life but is considered killed-in-action in the eyes of the new regime. That allows him to operate in the shadows and help any clone brothers who remain separate from the Imperial ranks. ;['Anakin Skywalker', 'Ahsoka Tano', 'Separatists', 'battle droids', 'General Pong Krell', 'Republic', 'clone troopers', 'battle droids', 'General Pong Krell', 'Skako Minor', 'Anakin Skywalker', 'the Bad Batch', 'Ahsoka Tano', 'Mandalore', 'Maul', 'Darth Sidious', 'Ahsoka', 'Ahsoka Tano', 'Y-wing', 'Wolffe', 'Gregor', 'Seelos', 'joopa', 'Ghost', 'Kanan', 'probe droid'];{'Appearances': ['Star Wars: The Bad Batch', 'Star Wars: The Clone Wars', 'Star Wars Rebels', 'Tales of the Jedi'], 'Affiliations': ['Galactic Republic', 'Clone Troopers'], 'Locations': ['Kamino'], 'Gender': ['Male'], 'Dimensions': ['Height: 1.83m '], 'Weapons': ['Blaster Pistol', 'Blaster Rifle'], 'Vehicles': ['BARC Speeder', 'AT-TE Walker']};
